epoch,GPU_0_out_gaps_categorical_accuracy,GPU_0_out_gaps_loss,GPU_1_out_gaps_categorical_accuracy,GPU_1_out_gaps_loss,loss,val_GPU_0_out_gaps_categorical_accuracy,val_GPU_0_out_gaps_loss,val_GPU_1_out_gaps_categorical_accuracy,val_GPU_1_out_gaps_loss,val_loss
0,0.866828978061676,0.47484296560287476,0.8626445531845093,0.400606632232666,0.8754496574401855,0.8733174800872803,0.4264194667339325,0.8557646870613098,0.36440134048461914,0.7908208966255188
1,0.8846718668937683,0.3633918762207031,0.8803489804267883,0.320549875497818,0.6839423775672913,0.8929153680801392,0.3364527225494385,0.8928343653678894,0.3000337481498718,0.6364864706993103
2,0.8930047750473022,0.3237341642379761,0.8918251991271973,0.2799682915210724,0.6037021279335022,0.8972480893135071,0.298653781414032,0.8976502418518066,0.2936961352825165,0.5923499464988708
3,0.8985258936882019,0.3005262613296509,0.8965128064155579,0.2717282176017761,0.5722544193267822,0.9074389338493347,0.2445250153541565,0.9083041548728943,0.24766714870929718,0.4921921193599701
4,0.9035594463348389,0.27959343791007996,0.9017652869224548,0.2584540843963623,0.5380473136901855,0.9310174584388733,0.19423846900463104,0.9179611802101135,0.24151670932769775,0.4357551336288452
5,0.9057928323745728,0.26653021574020386,0.9064356684684753,0.2478167563676834,0.5143469572067261,0.9098686575889587,0.2660504877567291,0.9075790643692017,0.2195010632276535,0.48555147647857666
6,0.9108455181121826,0.25595882534980774,0.9112981557846069,0.23594196140766144,0.49190083146095276,0.9072619080543518,0.28132328391075134,0.9151866436004639,0.23569956421852112,0.5170229077339172
7,0.9116405844688416,0.2505667507648468,0.9118770956993103,0.23463141918182373,0.4851978123188019,0.9126759767532349,0.2528584599494934,0.9242269992828369,0.1653943806886673,0.4182528555393219
8,0.9163918495178223,0.23816844820976257,0.9154426455497742,0.2236238718032837,0.46179264783859253,0.907258927822113,0.236949160695076,0.9172863364219666,0.2065575122833252,0.4435066878795624
9,0.9188286066055298,0.22662191092967987,0.9168034791946411,0.2186189442873001,0.44524073600769043,0.9259544014930725,0.23026645183563232,0.9226722717285156,0.175176739692688,0.4054431915283203
10,0.920854926109314,0.22042614221572876,0.9201603531837463,0.21126793324947357,0.4316938817501068,0.9301143288612366,0.22135742008686066,0.9335123300552368,0.20133373141288757,0.4226911962032318
11,0.9230934977531433,0.21150556206703186,0.9202473163604736,0.20634397864341736,0.41784948110580444,0.9090220332145691,0.23300090432167053,0.9200391173362732,0.1990329772233963,0.43203386664390564
12,0.9243518710136414,0.20681098103523254,0.9236264228820801,0.19937780499458313,0.4061891436576843,0.9452036619186401,0.16591133177280426,0.9242682456970215,0.19532395899295807,0.36123529076576233
13,0.926774799823761,0.19918587803840637,0.9255889058113098,0.18895159661769867,0.38813748955726624,0.9312630891799927,0.19988133013248444,0.9239116907119751,0.19262565672397614,0.3925069570541382
14,0.9286936521530151,0.191617950797081,0.9279325008392334,0.18912696838378906,0.3807453215122223,0.9287879467010498,0.19178180396556854,0.931468665599823,0.1666380614042282,0.35841986536979675
15,0.927139163017273,0.19295072555541992,0.9289047122001648,0.18764138221740723,0.38059231638908386,0.9277325868606567,0.18669240176677704,0.9310019612312317,0.2062051147222519,0.39289748668670654
16,0.9309388399124146,0.18387000262737274,0.9290956854820251,0.1789131909608841,0.3627833127975464,0.9189169406890869,0.1931905299425125,0.9260165691375732,0.20230187475681305,0.3954923748970032
17,0.9320921301841736,0.17946016788482666,0.9297510981559753,0.18236303329467773,0.361823171377182,0.9340609312057495,0.16931526362895966,0.936795711517334,0.16796323657035828,0.3372785151004791
18,0.9300414323806763,0.18291902542114258,0.9328510165214539,0.1718059927225113,0.35472509264945984,0.928440272808075,0.18173770606517792,0.9336680173873901,0.19433899223804474,0.37607669830322266
19,0.9334594011306763,0.17476746439933777,0.9333686232566833,0.17068520188331604,0.3454523980617523,0.923505961894989,0.1879429966211319,0.9247837662696838,0.1984386295080185,0.3863816559314728
20,0.9347021579742432,0.17262089252471924,0.9369637370109558,0.16236454248428345,0.3349854052066803,0.9289935827255249,0.17210730910301208,0.931821346282959,0.18990454077720642,0.3620118498802185
21,0.9363776445388794,0.16888388991355896,0.9356250166893005,0.16898253560066223,0.33786678314208984,0.9371901750564575,0.17676444351673126,0.9308313131332397,0.1771477907896042,0.35391226410865784
22,0.9362209439277649,0.16660921275615692,0.9358646273612976,0.16440270841121674,0.33101195096969604,0.9457232356071472,0.14185403287410736,0.9310880899429321,0.16667689383029938,0.3085309565067291
23,0.9378212690353394,0.16337081789970398,0.9386580586433411,0.15763555467128754,0.3210064172744751,0.9298664927482605,0.17175546288490295,0.9325092434883118,0.17013733088970184,0.3418927788734436
24,0.9385614395141602,0.15914402902126312,0.93902587890625,0.15652640163898468,0.31567054986953735,0.9368237257003784,0.15997622907161713,0.9551947116851807,0.12385408580303192,0.28383034467697144
25,0.9397068023681641,0.15688087046146393,0.9385127425193787,0.15699633955955505,0.3138771951198578,0.9429334998130798,0.15396083891391754,0.9427779316902161,0.14410755038261414,0.2980683743953705
26,0.9392356872558594,0.15647900104522705,0.9397210478782654,0.1542210876941681,0.31070008873939514,0.9339010119438171,0.17390801012516022,0.9375190138816833,0.16964568197727203,0.34355369210243225
27,0.9417195320129395,0.15146340429782867,0.9401547908782959,0.15282300114631653,0.30428630113601685,0.9325261116027832,0.1649000495672226,0.9414588212966919,0.16472023725509644,0.3296203017234802
28,0.9424076080322266,0.14935418963432312,0.9407964944839478,0.15160979330539703,0.30096402764320374,0.9535287022590637,0.12201813608407974,0.9393889307975769,0.1740773767232895,0.29609549045562744
29,0.9435499906539917,0.14499014616012573,0.9421860575675964,0.1490568220615387,0.2940465807914734,0.9469646215438843,0.13882486522197723,0.9402687549591064,0.1530616283416748,0.29188644886016846
30,0.9423834681510925,0.1458835005760193,0.9440428018569946,0.14552618563175201,0.2914098799228668,0.9511479139328003,0.13549217581748962,0.9429909586906433,0.15138699114322662,0.28687915205955505
31,0.9455679655075073,0.1409456878900528,0.9442855715751648,0.14117836952209473,0.28212404251098633,0.9457589387893677,0.14526547491550446,0.9447206258773804,0.1362825334072113,0.28154799342155457
32,0.9441537857055664,0.14327487349510193,0.945563018321991,0.13907399773597717,0.2823486924171448,0.9314342737197876,0.15775226056575775,0.943322479724884,0.1570899486541748,0.31484219431877136
33,0.9464215040206909,0.13652782142162323,0.944249153137207,0.1409175544977188,0.2774454355239868,0.942695677280426,0.14699088037014008,0.9459327459335327,0.13587653636932373,0.2828674614429474
34,0.9451993107795715,0.1426067054271698,0.9460742473602295,0.1353512853384018,0.2779579162597656,0.9433498382568359,0.14178085327148438,0.947015643119812,0.12783825397491455,0.2696191370487213
35,0.9468573331832886,0.1353413313627243,0.9455743432044983,0.13940194249153137,0.2747434675693512,0.9451525211334229,0.1411663144826889,0.9581899046897888,0.11220671236515045,0.25337302684783936
36,0.9484339356422424,0.1316101849079132,0.9484263062477112,0.13359284400939941,0.2652028501033783,0.9502938389778137,0.13082879781723022,0.9455194473266602,0.12640532851219177,0.2572340965270996
37,0.9475141763687134,0.13219790160655975,0.9484343528747559,0.1337016373872757,0.26589950919151306,0.9459558129310608,0.14330244064331055,0.9517485499382019,0.13940589129924774,0.2827083170413971
38,0.9478928446769714,0.1324305683374405,0.949349582195282,0.13064850866794586,0.26307886838912964,0.9585785865783691,0.10625670105218887,0.9541319608688354,0.13018465042114258,0.23644140362739563
39,0.9487934112548828,0.13082589209079742,0.9494588375091553,0.13373692333698273,0.26456278562545776,0.9547727108001709,0.12194933742284775,0.9371914267539978,0.14805695414543152,0.27000632882118225
40,0.950519323348999,0.12594696879386902,0.9503627419471741,0.129360169172287,0.25530704855918884,0.9485111236572266,0.13177251815795898,0.9525085687637329,0.11254581809043884,0.24431836605072021
41,0.9513376951217651,0.12425731122493744,0.9507824778556824,0.12904024124145508,0.25329768657684326,0.9531112313270569,0.11594312638044357,0.9488462209701538,0.15060113370418549,0.26654425263404846
42,0.95159912109375,0.1235043928027153,0.9520062208175659,0.12179064750671387,0.24529531598091125,0.9508768320083618,0.1320599466562271,0.9575508832931519,0.12966208159923553,0.26172202825546265
43,0.9525790214538574,0.1204037219285965,0.9521569013595581,0.12299195677042007,0.24339565634727478,0.9503118991851807,0.12068376690149307,0.9508983492851257,0.13927429914474487,0.25995808839797974
44,0.9522455334663391,0.11911263316869736,0.9521467685699463,0.12196578085422516,0.2410784363746643,0.9443092942237854,0.128336101770401,0.9606192708015442,0.09868147224187851,0.2270175665616989
45,0.9536270499229431,0.11559098958969116,0.952865719795227,0.12112843245267868,0.2367193102836609,0.9641178250312805,0.09131702780723572,0.9542266726493835,0.10009840875864029,0.19141541421413422
46,0.9534645080566406,0.1170799508690834,0.9548435211181641,0.11733980476856232,0.2344198077917099,0.9511047601699829,0.1113789975643158,0.9524881839752197,0.11785071343183517,0.22922973334789276
47,0.9530046582221985,0.11872027814388275,0.9544059634208679,0.11817195266485214,0.23689238727092743,0.9544844627380371,0.11237309128046036,0.9543675780296326,0.1190997064113617,0.23147276043891907
48,0.954781174659729,0.11447326093912125,0.9540308713912964,0.1190844178199768,0.23355776071548462,0.9481082558631897,0.14803466200828552,0.9548487067222595,0.11182048916816711,0.25985515117645264
49,0.9546223282814026,0.11509809643030167,0.955386757850647,0.11655929684638977,0.23165743052959442,0.9571667313575745,0.11711032688617706,0.9585608243942261,0.09934135526418686,0.2164517194032669
50,0.955525279045105,0.1110803633928299,0.9550505876541138,0.11696044355630875,0.22804094851016998,0.9521723985671997,0.11021605879068375,0.95405113697052,0.09632590413093567,0.2065419852733612
51,0.9560484886169434,0.11109385639429092,0.9565605521202087,0.11375968158245087,0.22485363483428955,0.9456691145896912,0.1253798007965088,0.9597352743148804,0.11405995488166809,0.23943977057933807
52,0.9567747712135315,0.10846847295761108,0.9561091661453247,0.11119256913661957,0.2196608930826187,0.9567341804504395,0.11361008882522583,0.9485509395599365,0.14171102643013,0.25532111525535583
53,0.9577223062515259,0.10745950788259506,0.9572797417640686,0.10851418226957321,0.2159736603498459,0.958522617816925,0.1067984327673912,0.9513605237007141,0.11683003604412079,0.2236284762620926
54,0.958075761795044,0.10688595473766327,0.9587885737419128,0.10808701813220978,0.2149730771780014,0.9543565511703491,0.12826474010944366,0.9530732035636902,0.10330545902252197,0.23157016932964325
55,0.9580411911010742,0.10349034518003464,0.957838237285614,0.1079946905374527,0.2114851474761963,0.9565597772598267,0.10743242502212524,0.9551898241043091,0.11857696622610092,0.22600939869880676
56,0.9571186304092407,0.1067996621131897,0.9586269855499268,0.10681494325399399,0.2136145830154419,0.9525927901268005,0.11605054885149002,0.9506845474243164,0.14828309416770935,0.26433366537094116
57,0.9589443206787109,0.10567072033882141,0.9582005739212036,0.10909362137317657,0.21476416289806366,0.9640169143676758,0.08556137979030609,0.9607974886894226,0.08912534266710281,0.17468670010566711
58,0.9585842490196228,0.10400060564279556,0.9585726261138916,0.1053897961974144,0.20939020812511444,0.9633194208145142,0.10422632843255997,0.9553772211074829,0.11116062849760056,0.21538692712783813
59,0.9603506326675415,0.1012563556432724,0.9597349762916565,0.10397548973560333,0.20523178577423096,0.9538061618804932,0.10946853458881378,0.9587835669517517,0.10753609240055084,0.21700461208820343
60,0.9587074518203735,0.1036890372633934,0.9602094292640686,0.10716112703084946,0.21085000038146973,0.9589851498603821,0.0991794615983963,0.9525691270828247,0.13392981886863708,0.2331092804670334
61,0.9599161148071289,0.10125428438186646,0.9598252773284912,0.10480780154466629,0.20606215298175812,0.9587129950523376,0.11475060880184174,0.9692979454994202,0.08678852021694183,0.20153914391994476
62,0.959797739982605,0.1014791876077652,0.9601104855537415,0.10288499295711517,0.2043640911579132,0.9562395811080933,0.10813874006271362,0.9586604833602905,0.110906682908535,0.21904543042182922
63,0.961043119430542,0.09559542685747147,0.960008442401886,0.10437487065792084,0.19997014105319977,0.9539994597434998,0.1094118058681488,0.9599830508232117,0.116837278008461,0.226249098777771
64,0.9614005088806152,0.098623126745224,0.9598671197891235,0.10318373888731003,0.2018069624900818,0.9659652709960938,0.0928143784403801,0.966946542263031,0.07942798733711243,0.17224234342575073
65,0.9623867273330688,0.09432651847600937,0.9604166150093079,0.10291919112205505,0.19724559783935547,0.9618027806282043,0.09548724442720413,0.9644493460655212,0.10062471032142639,0.19611197710037231
66,0.9616339206695557,0.09513571858406067,0.9604870080947876,0.10333205759525299,0.19846786558628082,0.9624097943305969,0.09077044576406479,0.9560042023658752,0.1056411862373352,0.1964116096496582
67,0.9622321724891663,0.09391364455223083,0.9610365629196167,0.10111161321401596,0.1950250267982483,0.9622638821601868,0.08329522609710693,0.9610724449157715,0.08810717612504959,0.17140237987041473
68,0.9618801474571228,0.09512390941381454,0.9620904326438904,0.09653642773628235,0.19166025519371033,0.9634239077568054,0.08557102084159851,0.9514173269271851,0.13394856452941895,0.21951960027217865
69,0.9625452160835266,0.09360243380069733,0.9621357917785645,0.09772072732448578,0.19132305681705475,0.9613304138183594,0.09516391903162003,0.9621630907058716,0.097531259059906,0.19269517064094543
70,0.9622474312782288,0.09396783262491226,0.9634844660758972,0.09811807423830032,0.19208581745624542,0.953000009059906,0.11394154280424118,0.9630172848701477,0.07782509922981262,0.1917666345834732
71,0.9631363153457642,0.09427715837955475,0.9638495445251465,0.09584823995828629,0.1901254653930664,0.9555851817131042,0.10308375209569931,0.9602602124214172,0.09222310036420822,0.19530685245990753
72,0.9631180167198181,0.09341470152139664,0.963930606842041,0.09432384371757507,0.18773844838142395,0.9699128866195679,0.08017435669898987,0.9617311954498291,0.08456701040267944,0.1647413671016693
73,0.9635636806488037,0.08966238796710968,0.9636356234550476,0.0956227034330368,0.1852852702140808,0.9508616924285889,0.13044008612632751,0.9653468132019043,0.0925610363483429,0.22300109267234802
74,0.964504599571228,0.08893266320228577,0.9642373323440552,0.09302247315645218,0.1819552332162857,0.9642163515090942,0.0948307141661644,0.9694889187812805,0.0752074271440506,0.1700381338596344
75,0.9649216532707214,0.08769060671329498,0.9647048115730286,0.09183605015277863,0.179526686668396,0.9706419706344604,0.07723190635442734,0.9660962224006653,0.10114354640245438,0.17837543785572052
76,0.9643964767456055,0.08946288377046585,0.9656267762184143,0.08942168205976486,0.17888455092906952,0.961570680141449,0.10037971287965775,0.963074803352356,0.07710210233926773,0.17748181521892548
77,0.96512371301651,0.08731940388679504,0.9648953080177307,0.09301997721195221,0.1803394854068756,0.9710383415222168,0.07761996984481812,0.9617493152618408,0.09410170465707779,0.1717216819524765
78,0.9654464721679688,0.08677597343921661,0.9652344584465027,0.0894281417131424,0.17620410025119781,0.9540706872940063,0.10717260837554932,0.9663240909576416,0.09797292202711105,0.20514550805091858
79,0.9656471610069275,0.08544088900089264,0.9658094048500061,0.09082252532243729,0.17626333236694336,0.9681381583213806,0.07548749446868896,0.9624954462051392,0.10326062142848969,0.17874810099601746
80,0.9666379690170288,0.08353907614946365,0.9662640690803528,0.08734606951475143,0.17088507115840912,0.9670723080635071,0.07762197405099869,0.9614550471305847,0.10564741492271423,0.18326935172080994
81,0.9657866954803467,0.08397646993398666,0.9658412337303162,0.08817393332719803,0.17215046286582947,0.9709965586662292,0.06713691353797913,0.9607966542243958,0.0920630618929863,0.15919999778270721
82,0.9670107364654541,0.08084066212177277,0.9665893316268921,0.08605710417032242,0.1668979674577713,0.9689194560050964,0.08203297108411789,0.9677602052688599,0.08018944412469864,0.16222243010997772
83,0.965955913066864,0.0830235555768013,0.9670062065124512,0.08976531773805618,0.17278887331485748,0.9637172222137451,0.09780579805374146,0.9684141874313354,0.08402090519666672,0.18182671070098877
84,0.967876672744751,0.07839234173297882,0.9685274958610535,0.08361802250146866,0.16201050579547882,0.9614099264144897,0.09798936545848846,0.9584836959838867,0.11026117950677872,0.20825053751468658
85,0.9672695398330688,0.08030668646097183,0.9663411974906921,0.08739303052425385,0.16769962012767792,0.96186763048172,0.08826985210180283,0.9575091600418091,0.10261271148920059,0.19088254868984222
86,0.9682821035385132,0.0778532326221466,0.9680204391479492,0.0848551094532013,0.16270840167999268,0.9686517715454102,0.06941390782594681,0.9696450233459473,0.08559368550777435,0.15500758588314056
87,0.9679691791534424,0.07964498549699783,0.9666791558265686,0.08769751340150833,0.16734255850315094,0.9575738906860352,0.09547939896583557,0.9723808169364929,0.08292993158102036,0.17840930819511414
88,0.9672474265098572,0.07853363454341888,0.9671345949172974,0.08551780134439468,0.1640513688325882,0.9739253520965576,0.06851277500391006,0.970628023147583,0.0982440933585167,0.16675685346126556
89,0.9688112735748291,0.07600569725036621,0.9687550663948059,0.08066178113222122,0.1566675752401352,0.9649174213409424,0.08265209197998047,0.9800488948822021,0.05386471375823021,0.13651680946350098
90,0.9683434963226318,0.07800422608852386,0.9674062728881836,0.08388486504554749,0.1618891805410385,0.9669438600540161,0.07561039924621582,0.9704526662826538,0.09361789375543594,0.16922831535339355
